NIM,JumlahSKS,Semester,IPK,Lulus
D22110295,2,1,2.75,0
D41109311,2,1,2.75,0
D41111010,2,1,2.75,0
D41111011,2,1,2.75,0
D41111281,2,1,2.75,0
D42112951,2,1,2.75,0
E41108304,2,1,2.75,0
F21109323,2,1,2.75,0
F21110274,2,1,2.75,0
F21110290,2,1,2.75,0
F21110314,2,1,2.75,0
F21110904,2,1,2.75,0
F21110910,2,1,2.75,0
F51109543,2,1,2.75,0
I11110261,2,1,2.75,0
I31110002,2,1,2.75,0
I31110254,2,1,2.75,0
I31110264,2,1,2.75,0
I31110269,2,1,2.75,0
K11110369,2,1,2.75,0
N11110267,2,1,2.75,0
N11110272,2,1,2.75,0
N11110302,2,1,2.75,0
N11110905,2,1,2.75,0
N21113730,2,1,2.75,0
N21113754,2,1,2.75,0
A31108984,2,1,3,0
B11110494,2,1,3,0
C11111871,2,1,3,0
D11107122,2,1,3,0
D11108607,2,1,3,0
D11109007,2,1,3,0
D11110261,2,1,3,0
D11111639,2,1,3,0
D12111006,2,1,3,0
D22111289,2,1,3,0
D31110259,2,1,3,0
D31110299,2,1,3,0
D31111003,2,1,3,0
D31111251,2,1,3,0
D41111007,2,1,3,0
D41111012,2,1,3,0
D41111112,2,1,3,0
D41112960,2,1,3,0
D42109108,2,1,3,0
D42109256,2,1,3,0
D42110266,2,1,3,0
D42111002,2,1,3,0
D42111273,2,1,3,0
D42112953,2,1,3,0
D52108265,2,1,3,0
D61107018,2,1,3,0
D62108001,2,1,3,0
D62110009,2,1,3,0
E13107612,2,1,3,0
F11108260,2,1,3,0
F21109293,2,1,3,0
F21110104,2,1,3,0
F21110261,2,1,3,0
F21110291,2,1,3,0
F21110292,2,1,3,0
F21110297,2,1,3,0
F21110322,2,1,3,0
F41107007,2,1,3,0
F41110272,2,1,3,0
F51110264,2,1,3,0
F51110267,2,1,3,0
F81108001,2,1,3,0
H22110252,2,1,3,0
H31108281,2,1,3,0
H31109014,2,1,3,0
I21110269,2,1,3,0
I21110273,2,1,3,0
I31110256,2,1,3,0
I31110280,2,1,3,0
I31110281,2,1,3,0
K11109111,2,1,3,0
K11109600,2,1,3,0
K11110380,2,1,3,0
K11112609,2,1,3,0
N11107631,2,1,3,0
N11108314,2,1,3,0
N11110264,2,1,3,0
N21113039,2,1,3,0
N21113715,2,1,3,0
N21113718,2,1,3,0
N21113735,2,1,3,0
O11110256,2,1,3,0
O11110274,2,1,3,0
D21109291,2,1,3.125,0
D21109328,2,1,3.25,0
A21109284,2,1,3.5,0
A31109993,2,1,3.5,0
B11109419,2,1,3.5,0
B11110112,2,1,3.5,0
B11110407,2,1,3.5,0
C11111265,2,1,3.5,0
C11111831,2,1,3.5,0
C11111873,2,1,3.5,0
C11111880,2,1,3.5,0
D11106069,2,1,3.5,0
D11107067,2,1,3.5,0
D11109329,2,1,3.5,0
D11111615,2,1,3.5,0
D12111251,2,1,3.5,0
D21107029,2,1,3.5,0
D21112952,2,1,3.5,0
D22110005,2,1,3.5,0
D31108261,2,1,3.5,0
D33109264,2,1,3.5,0
D41109316,2,1,3.5,0
D41111292,2,1,3.5,0
D41111309,2,1,3.5,0
D42111003,2,1,3.5,0
D42111101,2,1,3.5,0
D51108851,2,1,3.5,0
D51109110,2,1,3.5,0
D51110285,2,1,3.5,0
D61110902,2,1,3.5,0
E31110902,2,1,3.5,0
E41108286,2,1,3.5,0
F21109388,2,1,3.5,0
F21110009,2,1,3.5,0
F21110258,2,1,3.5,0
F21110315,2,1,3.5,0
F21110905,2,1,3.5,0
F31108279,2,1,3.5,0
F31110254,2,1,3.5,0
F31110259,2,1,3.5,0
F41110913,2,1,3.5,0
F51110262,2,1,3.5,0
F51110263,2,1,3.5,0
F51110270,2,1,3.5,0
F81109991,2,1,3.5,0
F81110261,2,1,3.5,0
F91109254,2,1,3.5,0
F91109258,2,1,3.5,0
F91109273,2,1,3.5,0
G21109264,2,1,3.5,0
H22110255,2,1,3.5,0
H22110260,2,1,3.5,0
H22110262,2,1,3.5,0
H31109002,2,1,3.5,0
I11110001,2,1,3.5,0
I11110004,2,1,3.5,0
I11110263,2,1,3.5,0
I11110901,2,1,3.5,0
I31108274,2,1,3.5,0
I31110259,2,1,3.5,0
I31110261,2,1,3.5,0
J11109137,2,1,3.5,0
K11110008,2,1,3.5,0
K11110252,2,1,3.5,0
K11110271,2,1,3.5,0
N11110006,2,1,3.5,0
N11110113,2,1,3.5,0
N11110286,2,1,3.5,0
N21113602,2,1,3.5,0
N21113721,2,1,3.5,0
A31108858,2,1,3.75,0
A31111115,2,1,3.75,0
B11110004,2,1,3.75,0
B11110261,2,1,3.75,0
B11110266,2,1,3.75,0
B11110331,2,1,3.75,0
B11110468,2,1,3.75,0
C11111318,2,1,3.75,0
C11111325,2,1,3.75,0
C11111863,2,1,3.75,0
C12111260,2,1,3.75,0
D11108336,2,1,3.75,0
D11109272,2,1,3.75,0
D11109296,2,1,3.75,0
D11109305,2,1,3.75,0
D11109308,2,1,3.75,0
D11110003,2,1,3.75,0
D11110280,2,1,3.75,0
D11110302,2,1,3.75,0
D21109313,2,1,3.75,0
D41110114,2,1,3.75,0
D41111290,2,1,3.75,0
D41112979,2,1,3.75,0
D42110292,2,1,3.75,0
D42111116,2,1,3.75,0
D42111128,2,1,3.75,0
D42111901,2,1,3.75,0
D51109267,2,1,3.75,0
D51110266,2,1,3.75,0
D51110302,2,1,3.75,0
D52109262,2,1,3.75,0
D61109282,2,1,3.75,0
E41107033,2,1,3.75,0
F11110268,2,1,3.75,0
F21108037,2,1,3.75,0
F21109019,2,1,3.75,0
F21110005,2,1,3.75,0
F21110006,2,1,3.75,0
F21110011,2,1,3.75,0
F21110284,2,1,3.75,0
F21110903,2,1,3.75,0
F41110001,2,1,3.75,0
F51109514,2,1,3.75,0
F61108264,2,1,3.75,0
F91110256,2,1,3.75,0
G31110002,2,1,3.75,0
H22109267,2,1,3.75,0
H22110005,2,1,3.75,0
H22110008,2,1,3.75,0
H22110256,2,1,3.75,0
H22110257,2,1,3.75,0
H22110901,2,1,3.75,0
I21110001,2,1,3.75,0
I21110005,2,1,3.75,0
I21110259,2,1,3.75,0
I21110265,2,1,3.75,0
I31110003,2,1,3.75,0
I31110272,2,1,3.75,0
L24110266,2,1,3.75,0
N11110133,2,1,3.75,0
N11110255,2,1,3.75,0
N11110904,2,1,3.75,0
N21113760,2,1,3.75,0
N21113762,2,1,3.75,0
B11110289,2,1,4,0
B11110453,2,1,4,0
C11111332,2,1,4,0
D11109003,2,1,4,0
D11109255,2,1,4,0
D11109274,2,1,4,0
D11110009,2,1,4,0
D11111602,2,1,4,0
D11111604,2,1,4,0
D11111607,2,1,4,0
D12109274,2,1,4,0
D22109263,2,1,4,0
D22109296,2,1,4,0
D22110286,2,1,4,0
D22111002,2,1,4,0
D31110281,2,1,4,0
D33111252,2,1,4,0
D41109338,2,1,4,0
D41112955,2,1,4,0
D41112958,2,1,4,0
D41112965,2,1,4,0
D41112972,2,1,4,0
D42111107,2,1,4,0
D42111261,2,1,4,0
D42111265,2,1,4,0
D62109271,2,1,4,0
F11110266,2,1,4,0
F21110002,2,1,4,0
F21110103,2,1,4,0
F21110252,2,1,4,0
F21110270,2,1,4,0
F21110303,2,1,4,0
F21110308,2,1,4,0
F21110318,2,1,4,0
F21110329,2,1,4,0
F41110262,2,1,4,0
F41110263,2,1,4,0
F61110257,2,1,4,0
F91110002,2,1,4,0
F91110275,2,1,4,0
G41110271,2,1,4,0
H22110003,2,1,4,0
H22110004,2,1,4,0
H22110007,2,1,4,0
H22110253,2,1,4,0
H22110267,2,1,4,0
H22110903,2,1,4,0
H31108269,2,1,4,0
I11110002,2,1,4,0
I11110265,2,1,4,0
I11110268,2,1,4,0
I11110270,2,1,4,0
I11110271,2,1,4,0
I11110280,2,1,4,0
I11110902,2,1,4,0
I21110003,2,1,4,0
I21110251,2,1,4,0
K11110919,2,1,4,0
K21113717,2,1,4,0
K21113718,2,1,4,0
K21113720,2,1,4,0
L22109285,2,1,4,0
N11109110,2,1,4,0
D32111253,3,3,1.166666667,0
D41108608,3,2,0,0
N21113764,3,2,2.333333333,0
D41111003,3,2,3,0
N21113727,3,2,3,0
L11109004,3,2,3.666666667,0
D21110281,3,2,3.833333333,0
A032171016,3,1,0,0
A032171017,3,1,0,0
A11110903,3,1,0,0
A11112274,3,1,0,0
A11113327,3,1,0,0
A21107103,3,1,0,0
A21107113,3,1,0,0
A21109281,3,1,0,0
A31107653,3,1,0,0
A31108015,3,1,0,0
B012181092,3,1,0,0
B11107105,3,1,0,0
B11107211,3,1,0,0
B11107244,3,1,0,0
B11109074,3,1,0,0
B11109133,3,1,0,0
B11109462,3,1,0,0
B11109485,3,1,0,0
B11109496,3,1,0,0
B11110301,3,1,0,0
B11110328,3,1,0,0
B11110467,3,1,0,0
B11110925,3,1,0,0
B12112113,3,1,0,0
C013181036,3,1,0,0
D11107089,3,1,0,0
D11107115,3,1,0,0
D11109315,3,1,0,0
D11111606,3,1,0,0
D12109323,3,1,0,0
D12111003,3,1,0,0
D12111253,3,1,0,0
D22111107,3,1,0,0
D22111288,3,1,0,0
D22111291,3,1,0,0
D33110253,3,1,0,0
D41105026,3,1,0,0
D41107160,3,1,0,0
D41110304,3,1,0,0
D41110312,3,1,0,0
D42109290,3,1,0,0
D42110113,3,1,0,0
D42110260,3,1,0,0
D51108259,3,1,0,0
D51109293,3,1,0,0
D61110264,3,1,0,0
D62107027,3,1,0,0
D62108101,3,1,0,0
D62108259,3,1,0,0
E033181006,3,1,0,0
E11107028,3,1,0,0
E11108262,3,1,0,0
E11110102,3,1,0,0
E12107033,3,1,0,0
E12108262,3,1,0,0
E13111005,3,1,0,0
E21110264,3,1,0,0
E31108259,3,1,0,0
E31109005,3,1,0,0
E41109269,3,1,0,0
E41110260,3,1,0,0
E51107005,3,1,0,0
E51108257,3,1,0,0
E51108275,3,1,0,0
E51108296,3,1,0,0
G11108269,3,1,0,0
G11109291,3,1,0,0
G21108293,3,1,0,0
G31107052,3,1,0,0
H12110005,3,1,0,0
H12110265,3,1,0,0
H12110902,3,1,0,0
H12112604,3,1,0,0
H22108279,3,1,0,0
H31109256,3,1,0,0
H41109002,3,1,0,0
I11109287,3,1,0,0
I21108260,3,1,0,0
K11107626,3,1,0,0
L11109276,3,1,0,0
L11110263,3,1,0,0
L22109255,3,1,0,0
L23107045,3,1,0,0
L23109274,3,1,0,0
M11108349,3,1,0,0
D22110294,3,1,1,0
D41108010,3,1,1,0
F41110910,3,1,1,0
G11110014,3,1,1,0
L23107017,3,1,1,0
L23110267,3,1,1,0
M12107013,3,1,1,0
M12107023,3,1,1,0
D21109007,3,1,1.25,0
D41111284,3,1,1.333333333,0
A21109118,3,1,2,0
A21109263,3,1,2,0
A21109307,3,1,2,0
A21109319,3,1,2,0
A31109105,3,1,2,0
A31110902,3,1,2,0
B11108917,3,1,2,0
B11109062,3,1,2,0
B11110017,3,1,2,0
B11110046,3,1,2,0
B11110466,3,1,2,0
B11110472,3,1,2,0
D12110252,3,1,2,0
D12110262,3,1,2,0
D12110268,3,1,2,0
D12110286,3,1,2,0
D12111268,3,1,2,0
D22108608,3,1,2,0
D22110104,3,1,2,0
D22110263,3,1,2,0
D22111103,3,1,2,0
D22111287,3,1,2,0
D22111294,3,1,2,0
D41110282,3,1,2,0
D41110302,3,1,2,0
D42110255,3,1,2,0
D61107005,3,1,2,0
D61109278,3,1,2,0
E11109260,3,1,2,0
E12108290,3,1,2,0
E12110109,3,1,2,0
E13107628,3,1,2,0
E31108287,3,1,2,0
G11109349,3,1,2,0
G11110277,3,1,2,0
G11110280,3,1,2,0
G21110267,3,1,2,0
G41109282,3,1,2,0
H31107021,3,1,2,0
H31109274,3,1,2,0
H41110271,3,1,2,0
I11109298,3,1,2,0
L11108255,3,1,2,0
L11109254,3,1,2,0
L11109272,3,1,2,0
L24109004,3,1,2,0
M11108325,3,1,2,0
M11108853,3,1,2,0
A11109282,3,1,2.5,0
A21107502,3,1,2.5,0
A21109259,3,1,2.5,0
A31110257,3,1,2.5,0
A31111267,3,1,2.5,0
B11109469,3,1,2.5,0
D11109277,3,1,2.5,0
D22109004,3,1,2.5,0
D22109281,3,1,2.5,0
D22111016,3,1,2.5,0
D51107056,3,1,2.5,0
D61108269,3,1,2.5,0
E13110104,3,1,2.5,0
E41110102,3,1,2.5,0
G11109304,3,1,2.5,0
G11110254,3,1,2.5,0
G11110274,3,1,2.5,0
G11110275,3,1,2.5,0
G11110341,3,1,2.5,0
G11110363,3,1,2.5,0
G11110366,3,1,2.5,0
G11110371,3,1,2.5,0
G21110004,3,1,2.5,0
G21110272,3,1,2.5,0
H12110257,3,1,2.5,0
H41109279,3,1,2.5,0
L11108289,3,1,2.5,0
L21110265,3,1,2.5,0
L21110271,3,1,2.5,0
L22107035,3,1,2.5,0
L22109280,3,1,2.5,0
M11109042,3,1,2.5,0
N11107633,3,1,2.5,0
D21109282,3,1,2.666666667,0
A11108005,3,1,2.75,0
A11109287,3,1,2.75,0
A11109300,3,1,2.75,0
A11110254,3,1,2.75,0
A31107609,3,1,2.75,0
A31107904,3,1,2.75,0
A31109307,3,1,2.75,0
A31110266,3,1,2.75,0
A31110302,3,1,2.75,0
A31111108,3,1,2.75,0
B11110149,3,1,2.75,0
B11110329,3,1,2.75,0
B11110923,3,1,2.75,0
D11107061,3,1,2.75,0
D11109260,3,1,2.75,0
D33110270,3,1,2.75,0
D41108626,3,1,2.75,0
D51108863,3,1,2.75,0
D61109276,3,1,2.75,0
D62108281,3,1,2.75,0
E31109273,3,1,2.75,0
E51109266,3,1,2.75,0
G11110901,3,1,2.75,0
G11110907,3,1,2.75,0
G11110917,3,1,2.75,0
G21110273,3,1,2.75,0
G41110253,3,1,2.75,0
G41110904,3,1,2.75,0
H12110903,3,1,2.75,0
I21109274,3,1,2.75,0
I41110001,3,1,2.75,0
M11108259,3,1,2.75,0
M11109322,3,1,2.75,0
M11110317,3,1,2.75,0
N11109266,3,1,2.75,0
A11110106,3,1,3,0
A11111255,3,1,3,0
A21108862,3,1,3,0
A21108963,3,1,3,0
A21109018,3,1,3,0
A21109128,3,1,3,0
A21109951,3,1,3,0
A21110256,3,1,3,0
A21110281,3,1,3,0
A31109108,3,1,3,0
A31109261,3,1,3,0
A31110127,3,1,3,0
A31110298,3,1,3,0
A31111008,3,1,3,0
A31111011,3,1,3,0
A31111017,3,1,3,0
A31111110,3,1,3,0
A31111265,3,1,3,0
A31111268,3,1,3,0
A31111278,3,1,3,0
A31111292,3,1,3,0
A31111303,3,1,3,0
A31111904,3,1,3,0
B11108790,3,1,3,0
B11110040,3,1,3,0
B11110129,3,1,3,0
B11110145,3,1,3,0
B11110185,3,1,3,0
B11110252,3,1,3,0
D11108327,3,1,3,0
D11111629,3,1,3,0
D12110104,3,1,3,0
D12111255,3,1,3,0
D31111262,3,1,3,0
D33110277,3,1,3,0
D51110272,3,1,3,0
D51110292,3,1,3,0
D61109003,3,1,3,0
D61109264,3,1,3,0
D61110269,3,1,3,0
E12110103,3,1,3,0
E12110107,3,1,3,0
E13110002,3,1,3,0
E13110257,3,1,3,0
E13110262,3,1,3,0
E31107634,3,1,3,0
E31109261,3,1,3,0
E51110251,3,1,3,0
F41110255,3,1,3,0
G11107032,3,1,3,0
G11110010,3,1,3,0
G11110357,3,1,3,0
G11110902,3,1,3,0
G11110915,3,1,3,0
G31110006,3,1,3,0
G31110102,3,1,3,0
G41109012,3,1,3,0
H12110251,3,1,3,0
H22109260,3,1,3,0
I41109001,3,1,3,0
I41110255,3,1,3,0
K11108330,3,1,3,0
K11110654,3,1,3,0
K11110665,3,1,3,0
L22110259,3,1,3,0
M11107041,3,1,3,0
M11110014,3,1,3,0
M11110260,3,1,3,0
M12107021,3,1,3,0
N11107619,3,1,3,0
O11110133,3,1,3,0
O11110136,3,1,3,0
O11110272,3,1,3,0
O11110278,3,1,3,0
O11110279,3,1,3,0
O11110284,3,1,3,0
O11110286,3,1,3,0
D21109290,3,1,3.166666667,0
D22110264,3,1,3.333333333,0
D22110275,3,1,3.333333333,0
D41110105,3,1,3.333333333,0
D21110289,3,1,3.416666667,0
A11107022,3,1,3.5,0
A11109256,3,1,3.5,0
A21109296,3,1,3.5,0
A21110101,3,1,3.5,0
A31108317,3,1,3.5,0
A31110110,3,1,3.5,0
A31110281,3,1,3.5,0
A31111006,3,1,3.5,0
A31111103,3,1,3.5,0
A31111259,3,1,3.5,0
B11110006,3,1,3.5,0
B11110013,3,1,3.5,0
B11110030,3,1,3.5,0
B11110105,3,1,3.5,0
B11110338,3,1,3.5,0
B11110350,3,1,3.5,0
B11110903,3,1,3.5,0
D11109015,3,1,3.5,0
D11109016,3,1,3.5,0
D11109283,3,1,3.5,0
D12110003,3,1,3.5,0
D12110102,3,1,3.5,0
D12110274,3,1,3.5,0
D12110280,3,1,3.5,0
D12111904,3,1,3.5,0
D51110270,3,1,3.5,0
D61107074,3,1,3.5,0
D62110102,3,1,3.5,0
E12109002,3,1,3.5,0
E13107037,3,1,3.5,0
E31108854,3,1,3.5,0
E31110004,3,1,3.5,0
E31110266,3,1,3.5,0
E51108264,3,1,3.5,0
E51108287,3,1,3.5,0
G11110006,3,1,3.5,0
G11110301,3,1,3.5,0
G11110340,3,1,3.5,0
G11110344,3,1,3.5,0
G11110353,3,1,3.5,0
G21109271,3,1,3.5,0
G21110003,3,1,3.5,0
G21110012,3,1,3.5,0
G31109255,3,1,3.5,0
G31110101,3,1,3.5,0
G31110273,3,1,3.5,0
G41110269,3,1,3.5,0
G41110272,3,1,3.5,0
H21108259,3,1,3.5,0
H21109264,3,1,3.5,0
H31109265,3,1,3.5,0
H41110101,3,1,3.5,0
H41110102,3,1,3.5,0
H41110281,3,1,3.5,0
H41110901,3,1,3.5,0
I11107026,3,1,3.5,0
I41110101,3,1,3.5,0
I41110265,3,1,3.5,0
K11108988,3,1,3.5,0
K11110017,3,1,3.5,0
K21109279,3,1,3.5,0
L23110256,3,1,3.5,0
L23110262,3,1,3.5,0
M11109296,3,1,3.5,0
M11109340,3,1,3.5,0
M11110316,3,1,3.5,0
M11110323,3,1,3.5,0
O11110288,3,1,3.5,0
B11110420,3,1,3.666666667,0
A11111003,3,1,3.75,0
A11111004,3,1,3.75,0
A11111018,3,1,3.75,0
A11111251,3,1,3.75,0
A21108972,3,1,3.75,0
A21109268,3,1,3.75,0
A21110252,3,1,3.75,0
A21110266,3,1,3.75,0
A31108102,3,1,3.75,0
A31109019,3,1,3.75,0
A31110265,3,1,3.75,0
A31110300,3,1,3.75,0
A31111007,3,1,3.75,0
A31111025,3,1,3.75,0
A31111109,3,1,3.75,0
A31111119,3,1,3.75,0
A31111263,3,1,3.75,0
A31111275,3,1,3.75,0
A31111279,3,1,3.75,0
A31111284,3,1,3.75,0
B11107115,3,1,3.75,0
B11110260,3,1,3.75,0
B11110271,3,1,3.75,0
B11110291,3,1,3.75,0
B11110293,3,1,3.75,0
D11110263,3,1,3.75,0
D12111002,3,1,3.75,0
D22111015,3,1,3.75,0
D22111110,3,1,3.75,0
D22111252,3,1,3.75,0
D51107032,3,1,3.75,0
D61107044,3,1,3.75,0
D61110001,3,1,3.75,0
D61110901,3,1,3.75,0
E12108277,3,1,3.75,0
E13110007,3,1,3.75,0
E13110008,3,1,3.75,0
E13110110,3,1,3.75,0
E13110265,3,1,3.75,0
E13110903,3,1,3.75,0
E21110102,3,1,3.75,0
E21110109,3,1,3.75,0
E41108288,3,1,3.75,0
E41109257,3,1,3.75,0
E41110267,3,1,3.75,0
E41110269,3,1,3.75,0
E41110271,3,1,3.75,0
E51110261,3,1,3.75,0
G11109284,3,1,3.75,0
G11109313,3,1,3.75,0
G11110001,3,1,3.75,0
G11110264,3,1,3.75,0
G11110268,3,1,3.75,0
G11110317,3,1,3.75,0
G11110326,3,1,3.75,0
G11110910,3,1,3.75,0
G21110106,3,1,3.75,0
G21110256,3,1,3.75,0
G21110280,3,1,3.75,0
G31110262,3,1,3.75,0
G41110905,3,1,3.75,0
G41110906,3,1,3.75,0
H12110286,3,1,3.75,0
H21109259,3,1,3.75,0
H22108272,3,1,3.75,0
H41110010,3,1,3.75,0
H41110251,3,1,3.75,0
H41110256,3,1,3.75,0
H41110260,3,1,3.75,0
H41110906,3,1,3.75,0
H41110907,3,1,3.75,0
I11109101,3,1,3.75,0
K11108951,3,1,3.75,0
L22110278,3,1,3.75,0
L23110264,3,1,3.75,0
L24110272,3,1,3.75,0
M11108257,3,1,3.75,0
M11109337,3,1,3.75,0
M11110105,3,1,3.75,0
M11110268,3,1,3.75,0
M11110276,3,1,3.75,0
M11110277,3,1,3.75,0
M11110903,3,1,3.75,0
M11110904,3,1,3.75,0
M11110909,3,1,3.75,0
M11110917,3,1,3.75,0
O11110281,3,1,3.75,0
A11111002,3,1,4,0
A11111016,3,1,4,0
A11111022,3,1,4,0
A11111267,3,1,4,0
A11111268,3,1,4,0
A11111275,3,1,4,0
A11111901,3,1,4,0
A21108854,3,1,4,0
A31111016,3,1,4,0
A31111021,3,1,4,0
A31111022,3,1,4,0
A31111024,3,1,4,0
A31111122,3,1,4,0
A31111128,3,1,4,0
A31111131,3,1,4,0
A31111251,3,1,4,0
A31111252,3,1,4,0
A31111254,3,1,4,0
A31111257,3,1,4,0
A31111274,3,1,4,0
A31111288,3,1,4,0
A31111311,3,1,4,0
A31111901,3,1,4,0
A31111902,3,1,4,0
B11110150,3,1,4,0
B11110184,3,1,4,0
B11110270,3,1,4,0
B11110317,3,1,4,0
B11110452,3,1,4,0
B11110478,3,1,4,0
B11110910,3,1,4,0
D11110001,3,1,4,0
D11110264,3,1,4,0
D12110002,3,1,4,0
D12110266,3,1,4,0
D12111108,3,1,4,0
D12111260,3,1,4,0
D12111272,3,1,4,0
D12111274,3,1,4,0
D21110901,3,1,4,0
D33109275,3,1,4,0
D33111009,3,1,4,0
D51108271,3,1,4,0
D51109296,3,1,4,0
D61108273,3,1,4,0
D61109265,3,1,4,0
E033172006,3,1,4,0
E12110259,3,1,4,0
E12110269,3,1,4,0
E12110272,3,1,4,0
E13109015,3,1,4,0
E13110005,3,1,4,0
E13110013,3,1,4,0
E13110113,3,1,4,0
E13110263,3,1,4,0
E13110268,3,1,4,0
E31110005,3,1,4,0
E41110002,3,1,4,0
E41110251,3,1,4,0
E41110263,3,1,4,0
E41110903,3,1,4,0
E41110904,3,1,4,0
E51108255,3,1,4,0
E51110253,3,1,4,0
E51110256,3,1,4,0
E51110266,3,1,4,0
E51110269,3,1,4,0
G11110253,3,1,4,0
G11110296,3,1,4,0
G11110300,3,1,4,0
G11110312,3,1,4,0
G11110328,3,1,4,0
G11110906,3,1,4,0
G11110908,3,1,4,0
G11110909,3,1,4,0
G11110916,3,1,4,0
G21110913,3,1,4,0
G41110256,3,1,4,0
G41110907,3,1,4,0
H11109009,3,1,4,0
H11110263,3,1,4,0
H12110258,3,1,4,0
H12110268,3,1,4,0
H12110290,3,1,4,0
H21110255,3,1,4,0
H21110258,3,1,4,0
H21110271,3,1,4,0
H21110275,3,1,4,0
H31109254,3,1,4,0
H41110275,3,1,4,0
I11109266,3,1,4,0
I11110258,3,1,4,0
I21110004,3,1,4,0
I21110262,3,1,4,0
